Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,NEW_SMILES
CHEMBL4086270,O=c1c(/C=N/c2ccc(Cl)cc2O)coc2ccccc12,IC50,'=',1420,nM,5.85,O=c1c(C=Nc2ccc(Cl)cc2O)coc2ccccc12
CHEMBL4076775,Cc1ccc(O)c(/N=C/c2coc3ccc(Br)cc3c2=O)c1,IC50,'=',7140,nM,5.15,Cc1ccc(O)c(N=Cc2coc3ccc(Br)cc3c2=O)c1
CHEMBL457577,O=c1c(/C=N/c2ncccc2O)coc2ccccc12,IC50,'=',7410,nM,5.13,O=c1c(C=Nc2ncccc2O)coc2ccccc12
CHEMBL1253763,CC1CCC(=NNc2nc(-c3ccc(C#N)cc3)cs2)CC1,IC50,'=',7079.46,nM,5.15,CC1CCC(=NN=c2[nH]c(-c3ccc(C#N)cc3)cs2)CC1
CHEMBL1255021,COc1ccc(-c2csc(NN=C3CCC(C)CC3)n2)cc1,IC50,'=',5754.4,nM,5.24,COc1ccc(-c2csc(=NN=C3CCC(C)CC3)[nH]2)cc1
CHEMBL3652428,Cc1cc(OC(F)(F)F)ccc1-c1ccc2cc(-n3ccnc3)ccc2n1,IC50,'=',280,nM,6.55,Cc1cc(OC(F)(F)F)ccc1-c1ccc2cc(-n3ccnc3)ccc2n1
CHEMBL4636840,O=C(/C=C/c1ccoc1)c1cc(O)c(O)c([N+](=O)[O-])c1,IC50,'=',52900,nM,4.28,O=C(C=Cc1ccoc1)c1cc(O)c(O)c([N+](=O)[O-])c1
CHEMBL4226892,COc1cc2s[nH]c(=O)c2cc1OC,IC50,'=',21000,nM,4.68,COc1cc2s[nH]c(=O)c2cc1OC
CHEMBL4066518,O=c1c(/C=N/c2cc(F)ccc2O)coc2ccc(Br)cc12,IC50,'=',3090,nM,5.51,O=c1c(C=Nc2cc(F)ccc2O)coc2ccc(Br)cc12
CHEMBL4096448,Cc1ccc2occ(/C=N/c3cc([N+](=O)[O-])ccc3O)c(=O)c2c1,IC50,'=',7270,nM,5.14,Cc1ccc2occ(C=Nc3cc([N+](=O)[O-])ccc3O)c(=O)c2c1
CHEMBL4062468,Cc1ccc(/N=C/c2coc3ccc(C)cc3c2=O)c(O)c1,IC50,'=',20800,nM,4.68,Cc1ccc(N=Cc2coc3ccc(C)cc3c2=O)c(O)c1
CHEMBL1813523,O=C1NC(=O)c2cc(OCc3ccc(Br)cc3)ccc21,IC50,'=',220,nM,6.66,O=C1NC(=O)c2cc(OCc3ccc(Br)cc3)ccc21
CHEMBL1830145,N#Cc1cccc(/C=C/C(=O)Nc2cccc(Cl)c2)c1,IC50,'=',13500,nM,4.87,N#Cc1cccc(C=CC(=O)Nc2cccc(Cl)c2)c1
CHEMBL1927677,Cn1c(=O)c2c(nc(NCCc3ccccc3)n2C)n(C)c1=O,IC50,'=',45200,nM,4.34,Cn1c(=O)c2c([nH]c(=NCCc3ccccc3)n2C)n(C)c1=O
CHEMBL1938479,Clc1ccc(CCN2CC=CCC2)c(Cl)c1,IC50,'=',6100,nM,5.21,Clc1ccc(CCN2CC=CCC2)c(Cl)c1
CHEMBL1213774,CCCCCC/C(C)=N/Nc1nc(-c2cccc(OC)c2)cs1,IC50,'=',1380,nM,5.86,CCCCCCC(C)=NN=c1[nH]c(-c2cccc(OC)c2)cs1
CHEMBL1213912,COc1cccc(-c2csc(N/N=C(\C)c3cccs3)n2)c1,IC50,'=',636.08,nM,6.2,COc1cccc(-c2csc(=NN=C(C)c3cccs3)[nH]2)c1
CHEMBL1214023,COc1cccc(-c2csc(N/N=C(\C)c3cc4ccccc4oc3=O)n2)c1,IC50,'=',5560,nM,5.25,COc1cccc(-c2csc(=NN=C(C)c3cc4ccccc4oc3=O)[nH]2)c1
CHEMBL1945271,N#Cc1ccc(COc2ccc3occc(=O)c3c2)cc1,IC50,'=',175,nM,6.76,N#Cc1ccc(COc2ccc3occc(=O)c3c2)cc1
CHEMBL125541,O=C(Cl)C1=Cc2cc(Br)ccc2CC1=O,IC50,'=',19.95,nM,7.7,O=C(Cl)c1cc2cc(Br)ccc2cc1O
CHEMBL123609,O=C(O)C1=Cc2cc(Br)ccc2CC1=O,IC50,'=',1000,nM,6,O=C(O)c1cc2cc(Br)ccc2cc1O
CHEMBL359978,O=c1c2ccccc2oc2c(O)cccc12,IC50,'=',1300,nM,5.89,O=c1c2ccccc2oc2c(O)cccc12
CHEMBL185895,COc1c(O)ccc2c(=O)c3ccccc3oc12,IC50,'=',65000,nM,4.19,COc1c(O)ccc2c(=O)c3ccccc3oc12
CHEMBL364169,Cc1c(O)c(Cl)c2oc3ccccc3c(=O)c2c1O,IC50,'=',27000,nM,4.57,Cc1c(O)c(Cl)c2oc3ccccc3c(=O)c2c1O
CHEMBL3929816,O=C1OCc2cc(OCc3ccc(F)cc3)ccc21,IC50,'=',1330,nM,5.88,O=C1OCc2cc(OCc3ccc(F)cc3)ccc21
CHEMBL2023193,C#CCN[C@H]1c2ccccc2C[C@@H]1[18F],IC50,'=',2300,nM,5.64,C#CCNC1c2ccccc2CC1[18F]
CHEMBL202017,Cc1coc2cc3oc(=O)c(NC(=O)CN)cc3cc12,IC50,'=',12350,nM,4.91,Cc1coc2cc3oc(=O)c(NC(=O)CN)cc3cc12
CHEMBL4059592,O=C1CCc2ccc(OCCCN3CCN(Cc4ccccc4)CC3)cc2N1,IC50,'=',6600,nM,5.18,O=C1CCc2ccc(OCCCN3CCN(Cc4ccccc4)CC3)cc2N1
CHEMBL4064374,CC(C)N1CCN(CCCCCCOc2ccc3c(c2)NC(=O)CC3)CC1,IC50,'=',6800,nM,5.17,CC(C)N1CCN(CCCCCCOc2ccc3c(c2)NC(=O)CC3)CC1
CHEMBL4101838,C#CCN(CCCCCCOc1ccc2c(c1)NC(=O)CC2)Cc1ccccc1,IC50,'=',1000,nM,6,C#CCN(CCCCCCOc1ccc2c(c1)NC(=O)CC2)Cc1ccccc1
CHEMBL4073457,O=C1CCc2ccc(OCCCCCCN3CCC(Cc4ccccc4)CC3)cc2N1,IC50,'=',300,nM,6.52,O=C1CCc2ccc(OCCCCCCN3CCC(Cc4ccccc4)CC3)cc2N1
CHEMBL2151542,C/C(=N/Nc1nc(-c2ccc(C#N)cc2)cs1)c1ccccn1,IC50,'=',2850,nM,5.54,CC(=NN=c1[nH]c(-c2ccc(C#N)cc2)cs1)c1ccccn1
CHEMBL2151556,C/C(=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1)c1nccs1,IC50,'=',8970,nM,5.05,CC(=NN=c1[nH]c(-c2ccc([N+](=O)[O-])cc2)cs1)c1nccs1
CHEMBL3652412,Cc1cn(-c2ccc3nc(-c4ccccc4)ncc3c2)cn1,IC50,'=',2060,nM,5.69,Cc1cn(-c2ccc3nc(-c4ccccc4)ncc3c2)cn1
CHEMBL2206096,Cc1cccc(CCSc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1,IC50,'=',12000,nM,4.92,Cc1cccc(CCSc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1
CHEMBL2206093,Cn1c(=O)c2c(nc(SCCc3cccc(Cl)c3)n2C)n(C)c1=O,IC50,'=',5660,nM,5.25,Cn1c(=O)c2c(nc(SCCc3cccc(Cl)c3)n2C)n(C)c1=O
CHEMBL4228589,CCN(CCCCCCn1sc2cc(OC)c(OC)cc2c1=O)Cc1ccccc1N(C)C,IC50,'=',3400,nM,5.47,CCN(CCCCCCn1sc2cc(OC)c(OC)cc2c1=O)Cc1ccccc1N(C)C
CHEMBL4105296,O=c1c(/C=N/c2cccc(Cl)c2O)coc2ccccc12,IC50,'=',1650,nM,5.78,O=c1c(C=Nc2cccc(Cl)c2O)coc2ccccc12
CHEMBL1927665,Cn1c(=O)c2c(nc(Sc3ccccc3)n2C)n(C)c1=O,IC50,'=',56400,nM,4.25,Cn1c(=O)c2c(nc(Sc3ccccc3)n2C)n(C)c1=O
CHEMBL1945150,O=c1ccoc2ccc(OCCc3ccccc3)cc12,IC50,'=',3120,nM,5.51,O=c1ccoc2ccc(OCCc3ccccc3)cc12
CHEMBL55,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,IC50,'=',793,nM,6.1,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
CHEMBL1642673,O=C1Nc2cc(CCc3ccccc3)ccc2C1=O,IC50,'=',6930,nM,5.16,O=C1Nc2cc(CCc3ccccc3)ccc2C1=O
CHEMBL960,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,IC50,'=',20696,nM,4.68,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
CHEMBL1927670,Cn1c(=O)c2c(nc(SCc3ccc(Br)cc3)n2C)n(C)c1=O,IC50,'=',2620,nM,5.58,Cn1c(=O)c2c(nc(SCc3ccc(Br)cc3)n2C)n(C)c1=O
CHEMBL257057,COc1c(O)ccc2c(C)cc(=O)oc12,IC50,'=',80300,nM,4.09,COc1c(O)ccc2c(C)cc(=O)oc12
CHEMBL487071,Cc1cc(=O)oc2c(C)c3oc4c(c3cc12)CCC4,IC50,'=',32800,nM,4.48,Cc1cc(=O)oc2c(C)c3oc4c(c3cc12)CCC4
CHEMBL504356,COc1c2occc2cc2cc(N)c(=O)oc12,IC50,'=',12200,nM,4.91,COc1c2occc2cc2cc(N)c(=O)oc12
CHEMBL488073,CC(=O)COc1ccc2c3c(c(=O)oc2c1C)CCCC3,IC50,'=',3.78,nM,8.42,CC(=O)COc1ccc2c3c(c(=O)oc2c1C)CCCC3
CHEMBL519426,COc1c(OC2CCCC2=O)ccc2ccc(=O)oc12,IC50,'=',2660,nM,5.58,COc1c(OC2CCCC2=O)ccc2ccc(=O)oc12
CHEMBL3652418,c1cn(-c2ccc3nc(-c4ccc5occc5c4)ncc3c2)cn1,IC50,'=',350,nM,6.46,c1cn(-c2ccc3nc(-c4ccc5occc5c4)ncc3c2)cn1
CHEMBL1475,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,IC50,'=',831,nM,6.08,Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1
